code,state,census,credit2018,credit2015,debt_limit_type,debt_percent_SPI,debt_per_capita,state_local_division,centralization,revenue_volatility,ten_year_pop_growth
NM,New Mexico,8,3,2,Both Referendum and/or Supermajority and Metric,0.0848,3217.93,0.5667,0.655,8.4,0.0385
NY,New York,2,2,2,Both Referendum and/or Supermajority and Metric,0.1182,6893.22,0.5965,0.404,6.1,0.0332
NC,North Carolina,5,1,1,Metric Based with Referendum to Exceed,0.042,1736.33,0.6519,0.648,5,0.1035
ND,North Dakota,4,2,1,Metric,0.0491,2733.49,0.6571,0.819,16.1,0.1488
OH,Ohio,3,2,2,Constitutional Amendment,0.0637,2789.78,0.6163,0.872,4.3,0.0124
OK,Oklahoma,7,3,2,Both Referendum and/or Supermajority and Metric,0.0517,2274.7,0.5286,0.397,7.1,0.0714
OR,Oregon,9,2,2,Metric,0.073,3243.36,0.6259,1.000,6.2,0.0992
PA,Pennsylvania,2,5,4,Metric Based with Referendum to Exceed,0.0737,3669.1,0.6302,0.432,3.7,0.0153
RI,Rhode Island,1,3,3,Referendum and/or Supermajority,0.1703,8472.05,0.2249,0.793,4.4,0.0044
SC,South Carolina,5,2,2,Both Referendum and/or Supermajority and Metric,0.0774,3001.71,0.6578,0.303,5.4,0.1094
SD,South Dakota,4,1,1,Both Referendum and/or Supermajority and Metric,0.0803,3846.78,0.4346,0.221,2.7,0.0883
TN,Tennessee,6,1,2,Metric,0.0206,870.26,0.8692,0.468,4.3,0.075
TX,Texas,7,1,1,Both Referendum and/or Supermajority and Metric,0.0346,1619.54,0.8345,1.000,5.9,0.1644
UT,Utah,8,1,1,Metric,0.062,2466.42,0.6344,0.676,6.5,0.1648
VT,Vermont,1,2,2,No Limitation,0.1033,5060.47,0.2778,0.220,10.4,-0.0008
VA,Virginia,5,1,1,Both Referendum and/or Supermajority and Metric,0.0644,3360.44,0.5665,0.285,5.7,0.0813
WA,Washington,9,2,2,Both Referendum and/or Supermajority and Metric,0.0848,4506.19,0.602,0.983,4.3,0.1285
WV,West Virginia,5,4,3,Constitutional Amendment,0.1059,3872.1,0.3192,0.444,4.7,-0.0133
WI,Wisconsin,3,3,3,Metric,0.0833,3834.65,0.4881,0.881,4,0.0274
WY,Wyoming,8,2,1,Metric Based with Referendum to Exceed,0.0253,1424.3,0.5779,0.033,13.6,0.0609
